31/08/22,185.00,food - hotel grand,
01/09/22,65.00,Google drive monthly subscription,
04/09/22,150.00,food,
04/09/22,20.00,ilikil kallu entry fee ,
04/09/22,20.00,water,
04/09/22,30.00,ice cream,
04/09/22,182.00,diesel - sonu,
04/09/22,168.00,food - mullapandhal,
04/09/22,30.00,ice cream,
04/09/22,"1,000.00",diesel,
04/09/22,72.00,food - cafeteria,
04/09/22,70.00,auto fare,
15/09/22,"1,200.00",taxi fare,
15/09/22,239.00,jio recharge,
15/09/22,299.00,vi recharge,
16/09/22,100.00,food,
16/09/22,5.00,ice cream,
16/09/22,270.00,groceries,
17/09/22,130.00,food,
17/09/22,20.00,ice cream,
17/09/22,100.00,finoy's bike petrol,
18/09/22,120.00,football,
19/09/22,500.00,to chandran chettan,
20/09/22,72.00,food - cafeteria,
21/09/22,200.00,diesel - sonu,
21/09/22,450.00,medicine op,
21/09/22,165.00,groceries,
21/09/22,100.00,food - meet n eat,
22/09/22,215.00,pharmacy ,
22/09/22,100.00,mess fees,
23/09/22,20.00,food,
23/09/22,132.00,food - hotel grand,
23/09/22,21.25,shuttlecock,
24/09/22,357.80,food - lime kitchen,
24/09/22,105.00,food - bismy,
25/09/22,114.00,food - cafeteria ,
25/09/22,10.00,tea,
26/09/22,65.00,google drive monthly subscription,
27/09/22,83.00,diesel - sonu's car,
27/09/22,50.00,food - uncle shake,
27/09/22,60.00,diesel - sonu's car,
27/09/22,206.00,food - al baan,
29/09/22,20.00,food - chips,
29/09/22,10.00,bus fare,
29/09/22,500.00,aster,
29/09/22,"1,600.00",taxi,
29/09/22,10.00,tea,
29/09/22,42.00,chips ,
01/10/22,90.00,food - cafeteria ,
01/10/22,200.00,diesel - noel's bike,
02/10/22,19.00,VI - data recharge,
02/10/22,50.00,food - uncle shake,
02/10/22,190.00,food - mandhi souk,
03/10/22,298.00,food - hotel grand,
03/10/22,10.00,bus fare,
04/10/22,"8,990.00",apple pencil purchase,
04/10/22,300.00,fasttag application via federal Bank ,
04/10/22,190.00,groceries,
04/10/22,30.00,food - kedaram,
04/10/22,219.00,pan card application,
05/10/22,500.00,aster appointment ,
05/10/22,"1,320.00",aster,
05/10/22,"1,300.00",aster,
05/10/22,100.00,food - meet n eat,
06/10/22,5.00,ice cream,
07/10/22,50.00,chips,
07/10/22,120.00,food - hotel grand,
08/10/22,160.00,food - meet n eat,
08/10/22,"1,710.00",internet bill,
09/10/22,65.00,food - cafeteria,
10/10/22,185.00,shawarmer,
10/10/22,140.00,groceries,
11/10/22,65.00,food - cafeteria ,
12/10/22,12.00,tea,
12/10/22,162.87,Sara's tuition payment,
12/10/22,299.00,VI recharge,
12/10/22,"1,300.00",taxi,
12/10/22,500.00,aster appointment fee,
12/10/22,851.00,aster pharmacy,
13/10/22,150.00,diesel - finoy's bike,
13/10/22,147.00,food - voyager's diner,
13/10/22,65.00,shuttlecock,
13/10/22,5.00,food - BR,
13/10/22,100.00,10 pens,
13/10/22,30.00,10 bandaids,
13/10/22,239.00,jio recharge,
14/10/22,127.00,uber,
14/10/22,118.00,food - Malabar grills,
14/10/22,130.00,food - meet n eat,
14/10/22,10.00,groceries,
14/10/22,30.00,food - BR,
15/10/22,10.00,food - BR,
15/10/22,100.00,food - swad,
15/10/22,69.00,groceries (for party),
17/10/22,60.00,food - cafeteria ,
